# CSV-File created with merge-csv.com
# -----------------------------------------------------------

url,Domain,Have_IP,Have_At,URL_Length,URL_Depth,Redirection,https_Domain,Prefix/Suffix,iFrame,Mouse_Over,Right_Click,Web_Forwards,count_special_characters,content_length,subdomain_count,tinyURL,whois_country,favicon_presence,status_code,Label
http://hidayat.uz/928375602332311ochttp3A2F2F2Fws2FISAPIdllFM2MContact26item3B14276952031324requestePPd3DwolandgioielliPPP26qidQ-jlc@amahousse.com.html,hidayat.uz,0,1,1,1,0,0,0,1,1,1,1,9,-1,2,0,0,0,-1,0
http://www.ilovefreesoftware.com/16/featured/5-best-free-network-packet-sniffer.html,ilovefreesoftware.com,0,0,1,3,0,0,0,0,1,1,0,14,162,3,0,0,1,200,1
http://mne.edu.vn/wp-includes/Netflix/LoginID/index.php,mne.edu.vn,0,0,1,4,0,0,0,0,1,1,0,11,-1,3,0,0,1,404,0
https://apshop.vn/,apshop.vn,0,0,0,0,0,0,0,0,1,1,0,5,-1,2,0,0,1,200,1
https://www.facebook.com/thekeyboardcat,facebook.com,0,0,0,1,0,0,0,0,1,1,0,6,-1,3,0,0,1,200,1
https://www.soul-flower.com/,soul-flower.com,0,0,0,0,0,0,1,0,1,1,0,7,-1,3,0,0,0,200,1
http://www.tech-faq.com/mms.html,tech-faq.com,0,0,0,1,0,0,1,0,1,1,0,8,162,3,0,0,0,200,1
http://sniz.porn,sniz.porn,0,0,0,0,0,0,0,0,1,1,0,4,-1,2,0,0,1,200,1
http://enerclim.com/cs/,enerclim.com,0,0,0,1,0,0,0,1,1,1,0,6,257,2,0,0,0,200,0
http://www.inquirelive.co.uk/,inquirelive.co.uk,0,0,0,0,0,0,0,0,1,1,0,7,-1,4,0,1,0,200,1
https://www.skecherstanio.pl/,skecherstanio.pl,0,0,0,0,0,0,0,1,1,1,1,6,-1,3,0,1,0,-1,0
https://www.wordnik.com/words/blackletter,wordnik.com,0,0,0,2,0,0,0,0,1,1,0,7,72368,3,0,0,1,200,1
https://bit.ly/2E6D7J1,bit.ly,0,0,0,1,0,0,0,0,1,1,0,5,140,2,1,0,1,200,0
http://www.goepsa.com/Old%20Files/yahoo/IDCHECK.html,goepsa.com,0,0,0,3,0,0,0,1,1,1,1,10,-1,3,0,1,0,-1,0
http://www.noithatchauau.vn/1./db/box/,noithatchauau.vn,0,0,0,3,0,0,0,0,1,1,0,10,-1,3,0,0,1,404,0
